Swedish_South,0.132817,0.132273,0.069343,0.055395,0.040180,0.020080,0.007520,0.008192,0.006136,-0.001276,-0.003603,0.002988,-0.005184,-0.005152,0.016117,0.006920,-0.005085,0.000459,0.003905,0.004885,0.005366,0.002566,0.000763,0.013285,-0.000733
Swedish_Varmland_s,0.133373,0.128312,0.074421,0.062638,0.041775,0.023426,0.006446,0.009237,0.004272,-0.008376,-0.004861,0.000719,-0.003353,-0.001041,0.016712,0.007332,-0.006334,0.001517,0.002959,0.005279,0.005205,0.001067,0.002554,0.011045,0.001250
Swedish_Vastenorrland_s,0.132344,0.122355,0.076147,0.065393,0.039029,0.023514,0.006046,0.009113,0.003446,-0.010575,-0.003259,0.000133,-0.002675,-0.003034,0.016419,0.006127,-0.006975,0.001054,0.001748,0.005704,0.006213,0.001761,0.002308,0.009413,0.001759
Swedish_Vasterbotten_s,0.132254,0.116775,0.077252,0.066913,0.035608,0.022929,0.006647,0.009971,0.002522,-0.013225,-0.001451,-0.000601,-0.000760,-0.007714,0.014352,0.006292,-0.006297,0.001132,0.001445,0.004385,0.004143,0.004150,0.002300,0.011010,0.000297
English_Cornwall,0.1301962,0.1397525,0.0613546,0.0431826,0.0419013,0.0164115,0.0034346,0.0063902,0.0064819,0.0069669,-0.0046342,0.0064788,-0.0137455,-0.0102476,0.0207548,0.003172,-0.012527,0.0021146,0.0037613,0.0032419,0.0048088,0.0038712,-0.0007584,0.0143671,0.0006909
English_East,0.13056418933900016,0.137239589913,0.06002573190300004,0.041989805489,0.04049164155979999,0.016472982500700003,0.003885596932000017,0.005375810656000004,0.006257766837000044,0.004904490919999997,-0.005399963178355999,0.005219855196000027,-0.011508215787999983,-0.008596960182999436,0.018296486150999935,0.005025537763000194,-0.006582116595999818,0.001613339882000164,0.002280521847999988,0.002655978425999993,0.004673392496999981,0.0019081756539997812,0.0006034774339999899,0.010930466206999941,0.00007966069600014863
English_East-Midlands,0.1314538815429999,0.13803324190500005,0.06085465027479999,0.04258899004799978,0.04102078925120001,0.016527159348,0.0041209831089999835,0.0057399587719999794,0.005951678040000033,0.004421999100999956,-0.005351500530044,0.005075293382999911,-0.011293890364000022,-0.009331183292000104,0.018490436910999906,0.005056662746000088,-0.007172226263000051,0.0017841917280001706,0.002416724082999918,0.0019179586941999896,0.004014654078000071,0.0022954119910001273,0.000456952308999988,0.012092136475999899,-0.0004148221259998152
English_Lancashire,0.12969299839499981,0.13751679781300002,0.0626411932288,0.042614818198999906,0.04179687366120001,0.017563662281720002,0.00409654027099993,0.004389583277999968,0.008430639659999933,0.006240354671999948,-0.005778495432591999,0.005581665355999991,-0.012017963452999991,-0.006300801955999958,0.019185369814000052,0.006802541851000008,-0.006401705649999977,0.0006530894120000815,0.0020041667649999652,0.002797640323199993,0.007554749620000271,0.0006637770099999045,0.0006007924619999565,0.011591256507000046,0.0022792831579999707
English_Northeast,0.13120652662000015,0.137149628276,0.062134742689799995,0.04431812428399992,0.04072825237780001,0.017564076137659996,0.0041002293839999876,0.005808734528000024,0.006148581763999838,0.0036787339820001036,-0.004996033069964002,0.004709398112999915,-0.011111875214999982,-0.009664295145000099,0.018974346025000092,0.005002504959000136,-0.007941019154000029,0.0014105643379998872,0.0018971712189999614,0.0016230795969000055,0.004785717651000075,0.0021622283940000587,0.00017916505600001236,0.012291461866000008,0.00013754688699989769
English_Southeast,0.13082479101400019,0.13735854083000001,0.06061140882320001,0.043311517159000015,0.04047331826500001,0.016850622928820006,0.003922061582999934,0.0055863334600001775,0.005680273331999898,0.004100464872000027,-0.005264014735192,0.0051220022959998345,-0.011689768655000007,-0.009529242127000003,0.01960030835999999,0.00505232521499997,-0.007856894382000015,0.001738526047999906,0.002254664899999972,0.0023367174098999997,0.004568760005999815,0.0020719587740001153,0.0004836547279999581,0.01182894838300001,-0.000010322119000481453
